Date/Time, Time Diff, Byte Counter, Byte Diff Counter, Packet Counter, Header Info, 
2024-04-08 23:32:17.736295, 0:00:00.000014, 12576, 65, 190, SLAVE_1, 
2024-04-08 23:32:17.736309, 0:00:00.000014, 12584, 8, 191, MASTER_2, 
2024-04-08 23:32:17.736323, 0:00:00.000014, 12773, 189, 192, SLAVE_2, 
2024-04-08 23:32:17.736336, 0:00:00.000014, 12781, 8, 193, MASTER_1, 
2024-04-08 23:32:17.736351, 0:00:00.000014, 12846, 65, 194, SLAVE_1, 
2024-04-08 23:32:17.736365, 0:00:00.000014, 12854, 8, 195, MASTER_2, 
2024-04-08 23:32:17.736379, 0:00:00.000014, 13043, 189, 196, SLAVE_2, 
2024-04-08 23:32:17.736397, 0:00:00.000019, 13051, 8, 197, MASTER_1, 
2024-04-08 23:32:17.736413, 0:00:00.000015, 13116, 65, 198, SLAVE_1, 
2024-04-08 23:32:17.736427, 0:00:00.000014, 13124, 8, 199, MASTER_2, 
2024-04-08 23:32:17.736442, 0:00:00.000016, 13313, 189, 200, SLAVE_2, 
2024-04-08 23:32:17.736456, 0:00:00.000013, 13321, 8, 201, MASTER_1, 
2024-04-08 23:32:17.736471, 0:00:00.000015, 13386, 65, 202, SLAVE_1, 
2024-04-08 23:32:17.736485, 0:00:00.000014, 13394, 8, 203, MASTER_2, 
2024-04-08 23:32:17.736500, 0:00:00.000015, 13583, 189, 204, SLAVE_2, 
2024-04-08 23:32:17.736513, 0:00:00.000013, 13591, 8, 205, MASTER_1, 
2024-04-08 23:32:17.736528, 0:00:00.000015, 13656, 65, 206, SLAVE_1, 
2024-04-08 23:32:17.736543, 0:00:00.000016, 13664, 8, 207, MASTER_2, 
2024-04-08 23:32:17.736559, 0:00:00.000016, 13853, 189, 208, SLAVE_2, 
2024-04-08 23:32:17.736575, 0:00:00.000015, 13861, 8, 209, MASTER_1, 
2024-04-08 23:32:17.736591, 0:00:00.000016, 13926, 65, 210, SLAVE_1, 
2024-04-08 23:32:17.736606, 0:00:00.000016, 13934, 8, 211, MASTER_2, 
2024-04-08 23:32:17.736623, 0:00:00.000016, 14123, 189, 212, SLAVE_2, 
2024-04-08 23:32:17.736638, 0:00:00.000015, 14131, 8, 213, MASTER_1, 
2024-04-08 23:32:17.736653, 0:00:00.000015, 14196, 65, 214, SLAVE_1, 
2024-04-08 23:32:17.736667, 0:00:00.000014, 14204, 8, 215, MASTER_2, 
